 time            v(vo)          
 9.50002000e-06  1.01214500e+00 
 9.50002080e-06  1.01214496e+00 
 9.50002240e-06  1.01214505e+00 
 9.50002560e-06  1.01214596e+00 
 9.50003200e-06  1.01214868e+00 
 9.50004480e-06  1.01215318e+00 
 9.50007040e-06  1.01215770e+00 
 9.50011736e-06  1.01216102e+00 
 9.50021129e-06  1.01213066e+00 
 9.50035531e-06  1.01193574e+00 
 9.50045901e-06  1.01178527e+00 
 9.50056986e-06  1.01176236e+00 
 9.50074069e-06  1.01177546e+00 
 9.50090422e-06  1.01176795e+00 
 9.50119012e-06  1.01177484e+00 
 9.50152755e-06  1.01176994e+00 
 9.50201589e-06  1.01177450e+00 
 9.50280544e-06  1.01177042e+00 
 9.50405445e-06  1.01177427e+00 
 9.50635628e-06  1.01177054e+00 
 9.51029270e-06  1.01177420e+00 
 9.51716647e-06  1.01177058e+00 
 9.52951134e-06  1.01177417e+00 
 9.55420110e-06  1.01177059e+00 
 9.60358060e-06  1.01177416e+00 
 9.70233961e-06  1.01177057e+00 
 9.89985762e-06  1.01177412e+00 
 1.00000000e-05  1.01177054e+00 
 1.00000010e-05  1.01177095e+00 
 1.00000030e-05  1.01177165e+00 
 1.00000070e-05  1.01177177e+00 
 1.00000100e-05  1.01177069e+00 
 1.00000105e-05  1.01177037e+00 
 1.00000115e-05  1.01176970e+00 
 1.00000136e-05  1.01176827e+00 
 1.00000176e-05  1.01176585e+00 
 1.00000258e-05  1.01176363e+00 
 1.00000421e-05  1.01176486e+00 
 1.00000700e-05  1.01177148e+00 
 1.00000998e-05  1.01178195e+00 
 1.00001367e-05  1.01179568e+00 
 1.00001944e-05  1.01181245e+00 
 1.00002617e-05  1.01182796e+00 
 1.00003964e-05  1.01185258e+00 
 1.00005938e-05  1.01187857e+00 
 1.00008752e-05  1.01189176e+00 
 1.00013550e-05  1.01190202e+00 
 1.00022421e-05  1.01191807e+00 
 1.00040163e-05  1.01195507e+00 
 1.00075647e-05  1.01200814e+00 
 1.00140052e-05  1.01326761e+00 
